model,method,feature_delta,target,spearman_rho,n,key
resnet101,ig,abs_delta_hf_energy,prob_drop,-0.012420986093552468,225,resnet101 / ig
resnet101,cam,abs_delta_hf_energy,prob_drop,-0.012420986093552468,225,resnet101 / cam
vit_b_32,rollout,abs_delta_edge_strength,prob_drop,0.01134850400337126,225,vit_b_32 / rollout
vit_b_32,ig,abs_delta_edge_strength,prob_drop,0.01134850400337126,225,vit_b_32 / ig
vit_b_32,cam,abs_delta_edge_strength,prob_drop,0.01134850400337126,225,vit_b_32 / cam
resnet101,ig,abs_delta_brightness,prob_drop,0.010195954487989886,225,resnet101 / ig
resnet101,cam,abs_delta_brightness,prob_drop,0.010195954487989886,225,resnet101 / cam
resnet101,cam,abs_delta_hf_energy,xai_iou,-0.00963337547408344,225,resnet101 / cam
resnet101,cam,abs_delta_saturation,centroid_shift,-0.008945427728613571,225,resnet101 / cam
resnet101,ig,abs_delta_colorfulness,centroid_shift,-0.007137589549093975,225,resnet101 / ig
resnet101,ig,abs_delta_edge_strength,entropy_delta,0.006393805309734515,225,resnet101 / ig
vit_b_32,cam,abs_delta_entropy,entropy_delta,-0.006280025284450064,225,vit_b_32 / cam
vit_b_16,cam,abs_delta_entropy,entropy_delta,0.005857564264643912,225,vit_b_16 / cam
resnet101,cam,abs_delta_saturation,xai_corr,0.005714285714285715,225,resnet101 / cam
resnet101,cam,abs_delta_entropy,prob_drop,0.005318162663295408,225,resnet101 / cam
resnet101,ig,abs_delta_entropy,prob_drop,0.005318162663295408,225,resnet101 / ig
vit_b_16,cam,abs_delta_colorfulness,centroid_shift,0.0037895069532237675,225,vit_b_16 / cam
vit_b_16,cam,abs_delta_colorfulness,xai_corr,0.0025410872313527187,225,vit_b_16 / cam
vit_b_16,cam,abs_delta_edge_strength,entropy_delta,-0.0016287399915718502,225,vit_b_16 / cam
