model,method,wnid,name,image_pos,image_idx,corruption,family,severity,prob_clean,prob_corr,prob_drop,correct_clean,correct_corr,xai_iou,xai_corr,centroid_shift,entropy_clean,entropy_corr,entropy_delta,family_model
vit_b_16,ig,n03899768,patio,0,1538,frost,weather,2,0.005413006525486708,0.0011880745878443122,0.0042249319376423955,0,0,0.27425088877602843,0.3059401474599287,10.160317493424586,1.657749711324688,1.3311128825451455,-0.3266368287795425,ViT
vit_b_16,rollout,n03899768,patio,0,1538,frost,weather,3,0.005413006525486708,0.0015972526744008064,0.0038157538510859013,0,0,0.39514839785917844,0.27733823969292326,31.046157693607277,2.6878017347416643,3.4650848323218155,0.7772830975801512,ViT
vit_b_16,cam,n03899768,patio,0,1538,frost,weather,3,0.005413006525486708,0.0015972526744008064,0.0038157538510859013,0,0,0.42364706716788425,0.6872648771513198,8.01626337715719,2.957437367047879,4.262852165606005,1.3054147985581261,ViT
vit_b_16,ig,n03899768,patio,0,1538,frost,weather,3,0.005413006525486708,0.0015972526744008064,0.0038157538510859013,0,0,0.25481370342585646,0.31270448810548224,14.101437568805318,1.657749711324688,1.916092958393736,0.2583432470690481,ViT
vit_b_16,rollout,n03899768,patio,0,1538,frost,weather,4,0.005413006525486708,0.0006764794234186411,0.004736527102068067,0,0,0.3445873526259378,0.25363313686106154,43.726933567996916,2.6878017347416643,3.2994833642958454,0.6116816295541811,ViT
vit_b_16,cam,n03899768,patio,0,1538,frost,weather,4,0.005413006525486708,0.0006764794234186411,0.004736527102068067,0,0,0.46180176243536525,0.6562701939383583,11.790751393106737,2.957437367047879,2.525590341851148,-0.4318470251967308,ViT
vit_b_16,ig,n03899768,patio,0,1538,frost,weather,4,0.005413006525486708,0.0006764794234186411,0.004736527102068067,0,0,0.24477519379844961,0.29176874500125255,17.14301765498956,1.657749711324688,1.9985639170661722,0.34081420574148424,ViT
vit_b_16,rollout,n03899768,patio,0,1538,frost,weather,5,0.005413006525486708,0.0008645134512335062,0.0045484930742532015,0,0,0.3563995134477632,0.22981147728863638,47.81872409404694,2.6878017347416643,3.705789907759927,1.0179881730182627,ViT
vit_b_16,cam,n03899768,patio,0,1538,frost,weather,5,0.005413006525486708,0.0008645134512335062,0.0045484930742532015,0,0,0.3753597368781691,0.5352016931462008,13.03916373114597,2.957437367047879,4.021347020791621,1.0639096537437425,ViT
vit_b_16,ig,n03899768,patio,0,1538,frost,weather,5,0.005413006525486708,0.0008645134512335062,0.0045484930742532015,0,0,0.21427707199032062,0.22846258047490672,4.390701336214276,1.657749711324688,2.5759025614412088,0.9181528501165208,ViT
vit_b_16,rollout,n03899768,patio,0,1538,fog,weather,1,0.005413006525486708,0.010469513945281506,-0.005056507419794798,0,0,0.4283071230342276,0.584340421821148,27.797402962577976,2.6878017347416643,3.210446689364253,0.5226449546225886,ViT
